sno,Date,Store ID,Product ID,Category,Region,Units Sold,Price,Weather Condition,Competitor Pricing,Seasonality,Demand,Revenue,Month
24,2022-01-01,S002,P0005,Electronics,South,103,92.35,Cloudy,104.72,Winter,94,9512.05,2022-01
25,2022-01-01,S002,P0006,Clothing,South,79,64.0,Cloudy,57.37,Winter,88,5056.0,2022-01
26,2022-01-01,S002,P0007,Toys,South,89,25.47,Cloudy,30.08,Winter,93,2266.83,2022-01
27,2022-01-01,S002,P0008,Groceries,South,124,25.63,Cloudy,29.79,Winter,112,3178.12,2022-01
28,2022-01-01,S002,P0009,Groceries,South,131,64.84,Cloudy,68.68,Winter,145,8494.04,2022-01
29,2022-01-01,S002,P0010,Groceries,South,118,117.17,Cloudy,106.37,Winter,195,13826.06,2022-01
30,2022-01-01,S002,P0011,Groceries,South,49,84.71,Cloudy,76.07,Winter,79,4150.79,2022-01
31,2022-01-01,S002,P0012,Electronics,South,78,78.86,Cloudy,69.84,Winter,122,6151.08,2022-01
32,2022-01-01,S002,P0013,Groceries,South,93,21.76,Cloudy,21.12,Winter,109,2023.68,2022-01
33,2022-01-01,S002,P0014,Electronics,South,69,100.18,Cloudy,108.96,Winter,63,6912.42,2022-01
34,2022-01-01,S002,P0015,Clothing,South,70,65.19,Cloudy,64.23,Winter,96,4563.3,2022-01
35,2022-01-01,S002,P0016,Clothing,South,113,111.87,Cloudy,118.76,Winter,194,12641.31,2022-01
36,2022-01-01,S002,P0017,Toys,South,72,18.89,Cloudy,18.27,Winter,65,1360.08,2022-01
37,2022-01-01,S002,P0018,Clothing,South,69,27.67,Cloudy,26.08,Winter,79,1909.23,2022-01
38,2022-01-01,S002,P0019,Clothing,South,82,83.09,Cloudy,74.12,Winter,96,6813.38,2022-01
39,2022-01-01,S002,P0020,Furniture,South,43,125.8,Cloudy,110.88,Winter,53,5409.4,2022-01
40,2022-01-01,S003,P0001,Toys,East,109,16.85,Sunny,15.48,Winter,112,1836.65,2022-01
41,2022-01-01,S003,P0002,Groceries,East,56,50.42,Sunny,45.94,Winter,82,2823.52,2022-01
42,2022-01-01,S003,P0003,Electronics,East,122,83.17,Sunny,72.09,Winter,126,10146.74,2022-01
43,2022-01-01,S003,P0004,Groceries,East,122,26.29,Sunny,30.05,Winter,158,3207.38,2022-01
44,2022-01-01,S003,P0005,Toys,East,40,19.8,Sunny,17.3,Winter,57,792.0,2022-01
45,2022-01-01,S003,P0006,Toys,East,106,44.64,Sunny,50.46,Winter,136,4731.84,2022-01
46,2022-01-01,S003,P0007,Groceries,East,123,18.65,Sunny,21.62,Winter,142,2293.95,2022-01
47,2022-01-01,S003,P0008,Clothing,East,61,113.01,Sunny,126.44,Winter,89,6893.610000000001,2022-01
48,2022-01-01,S003,P0009,Groceries,East,96,56.32,Sunny,66.33,Winter,126,5406.72,2022-01
49,2022-01-01,S003,P0010,Groceries,East,70,36.21,Sunny,39.87,Winter,106,2534.7000000000003,2022-01
50,2022-01-01,S003,P0011,Electronics,East,157,131.16,Sunny,139.75,Winter,149,20592.12,2022-01
51,2022-01-01,S003,P0012,Furniture,East,58,105.94,Sunny,103.35,Winter,80,6144.52,2022-01
52,2022-01-01,S003,P0013,Groceries,East,105,86.78,Sunny,78.8,Winter,176,9111.9,2022-01
53,2022-01-01,S003,P0014,Groceries,East,27,61.69,Sunny,53.36,Winter,44,1665.63,2022-01
54,2022-01-01,S003,P0015,Groceries,East,131,98.46,Sunny,104.52,Winter,133,12898.259999999998,2022-01
55,2022-01-01,S003,P0016,Electronics,East,80,94.11,Sunny,107.33,Winter,108,7528.8,2022-01
56,2022-01-01,S003,P0017,Furniture,East,53,112.23,Sunny,133.9,Winter,82,5948.1900000000005,2022-01
57,2022-01-01,S003,P0018,Furniture,East,56,134.95,Sunny,125.53,Winter,75,7557.199999999999,2022-01
58,2022-01-01,S003,P0019,Groceries,East,109,59.71,Sunny,70.74,Winter,123,6508.39,2022-01
59,2022-01-01,S003,P0020,Clothing,East,41,65.81,Sunny,57.66,Winter,61,2698.21,2022-01
60,2022-01-01,S004,P0001,Groceries,West,85,10.47,Snowy,11.51,Winter,81,889.95,2022-01
61,2022-01-01,S004,P0002,Groceries,West,67,19.12,Snowy,20.62,Winter,112,1281.04,2022-01
62,2022-01-01,S004,P0003,Furniture,West,92,134.16,Snowy,117.74,Winter,114,12342.72,2022-01
63,2022-01-01,S004,P0004,Groceries,West,88,51.64,Snowy,57.32,Winter,86,4544.32,2022-01
64,2022-01-01,S004,P0005,Clothing,West,197,89.23,Snowy,77.73,Winter,183,17578.31,2022-01
65,2022-01-01,S004,P0006,Groceries,West,48,35.33,Snowy,34.77,Winter,73,1695.84,2022-01
66,2022-01-01,S004,P0007,Groceries,West,43,24.34,Snowy,26.46,Winter,65,1046.62,2022-01
67,2022-01-01,S004,P0008,Furniture,West,59,100.64,Snowy,118.02,Winter,80,5937.76,2022-01
68,2022-01-01,S004,P0009,Clothing,West,106,110.47,Snowy,122.04,Winter,98,11709.82,2022-01
69,2022-01-01,S004,P0010,Groceries,West,120,30.02,Snowy,29.15,Winter,128,3602.4,2022-01
70,2022-01-01,S004,P0011,Clothing,West,60,52.89,Snowy,62.29,Winter,61,3173.4,2022-01
71,2022-01-01,S004,P0012,Electronics,West,111,118.15,Snowy,133.46,Winter,103,13114.65,2022-01
72,2022-01-01,S004,P0013,Groceries,West,104,20.24,Snowy,18.9,Winter,110,2104.96,2022-01
73,2022-01-01,S004,P0014,Furniture,West,52,148.46,Snowy,178.25,Winter,70,7719.92,2022-01
74,2022-01-01,S004,P0015,Furniture,West,42,86.47,Snowy,81.87,Winter,44,3631.74,2022-01
75,2022-01-01,S004,P0016,Furniture,West,74,110.39,Snowy,101.16,Winter,71,8168.86,2022-01
76,2022-01-01,S004,P0017,Clothing,West,65,84.83,Snowy,94.7,Winter,85,5513.95,2022-01
77,2022-01-01,S004,P0018,Furniture,West,64,141.31,Snowy,150.73,Winter,67,9043.84,2022-01
78,2022-01-01,S004,P0019,Clothing,West,125,56.86,Snowy,64.61,Winter,111,7107.5,2022-01
79,2022-01-01,S004,P0020,Furniture,West,52,124.97,Snowy,110.39,Winter,76,6498.44,2022-01
80,2022-01-01,S005,P0001,Groceries,North,75,11.46,Snowy,9.92,Winter,84,859.5000000000001,2022-01
81,2022-01-01,S005,P0002,Electronics,North,131,48.68,Snowy,51.85,Winter,186,6377.08,2022-01
82,2022-01-01,S005,P0003,Toys,North,145,29.57,Snowy,26.3,Winter,143,4287.65,2022-01
83,2022-01-01,S005,P0004,Groceries,North,143,7.45,Snowy,8.33,Winter,121,1065.35,2022-01
84,2022-01-01,S005,P0005,Groceries,North,126,20.02,Snowy,18.12,Winter,148,2522.52,2022-01
85,2022-01-01,S005,P0006,Groceries,North,59,53.49,Snowy,52.34,Winter,67,3155.9100000000003,2022-01
86,2022-01-01,S005,P0007,Groceries,North,74,82.73,Snowy,79.8,Winter,85,6122.02,2022-01
87,2022-01-01,S005,P0008,Groceries,North,165,73.42,Snowy,84.61,Winter,149,12114.3,2022-01
88,2022-01-01,S005,P0009,Groceries,North,59,94.75,Snowy,112.34,Winter,94,5590.25,2022-01
89,2022-01-01,S005,P0010,Groceries,North,132,70.86,Snowy,63.54,Winter,136,9353.52,2022-01
90,2022-01-01,S005,P0011,Electronics,North,17,62.12,Snowy,55.78,Winter,15,1056.04,2022-01
91,2022-01-01,S005,P0012,Furniture,North,71,133.86,Snowy,118.2,Winter,84,9504.06,2022-01
92,2022-01-01,S005,P0013,Groceries,North,82,71.03,Snowy,78.02,Winter,116,5824.46,2022-01
93,2022-01-01,S005,P0014,Furniture,North,63,161.18,Snowy,156.66,Winter,82,10154.34,2022-01
94,2022-01-01,S005,P0015,Groceries,North,108,44.36,Snowy,52.84,Winter,93,4790.88,2022-01
95,2022-01-01,S005,P0016,Toys,North,59,32.84,Snowy,39.5,Winter,76,1937.56,2022-01
96,2022-01-01,S005,P0017,Toys,North,89,33.04,Snowy,37.53,Winter,88,2940.56,2022-01
97,2022-01-01,S005,P0018,Clothing,North,68,22.41,Snowy,22.24,Winter,88,1523.88,2022-01
98,2022-01-01,S005,P0019,Furniture,North,42,119.15,Snowy,102.4,Winter,47,5004.3,2022-01
99,2022-01-01,S005,P0020,Toys,North,79,28.66,Snowy,34.32,Winter,104,2264.14,2022-01
100,2022-01-02,S001,P0001,Electronics,North,71,65.63,Snowy,73.66,Winter,84,4659.73,2022-01
101,2022-01-02,S001,P0002,Clothing,North,116,74.44,Snowy,87.66,Winter,175,8635.039999999999,2022-01
102,2022-01-02,S001,P0003,Clothing,North,130,66.15,Snowy,74.15,Winter,156,8599.5,2022-01
103,2022-01-02,S001,P0004,Electronics,North,82,91.64,Snowy,105.17,Winter,78,7514.48,2022-01
104,2022-01-02,S001,P0005,Groceries,North,87,63.35,Snowy,61.2,Winter,103,5511.45,2022-01
105,2022-01-02,S001,P0006,Toys,North,77,36.93,Snowy,32.24,Winter,65,2843.61,2022-01
106,2022-01-02,S001,P0007,Groceries,North,37,27.22,Snowy,31.11,Winter,127,1007.14,2022-01
107,2022-01-02,S001,P0008,Electronics,North,37,37.38,Snowy,42.34,Winter,58,1383.0600000000002,2022-01
108,2022-01-02,S001,P0009,Clothing,North,133,93.21,Snowy,83.66,Winter,126,12396.929999999998,2022-01
109,2022-01-02,S001,P0010,Furniture,North,105,129.03,Snowy,139.76,Winter,107,13548.15,2022-01
110,2022-01-02,S001,P0011,Furniture,North,152,175.19,Snowy,187.65,Winter,130,26628.88,2022-01
111,2022-01-02,S001,P0012,Groceries,North,168,96.27,Snowy,109.41,Winter,187,16173.36,2022-01
112,2022-01-02,S001,P0013,Toys,North,73,32.72,Snowy,28.94,Winter,107,2388.56,2022-01
113,2022-01-02,S001,P0014,Groceries,North,81,70.94,Snowy,66.18,Winter,75,5746.139999999999,2022-01
114,2022-01-02,S001,P0015,Toys,North,117,15.17,Snowy,16.81,Winter,110,1774.89,2022-01
115,2022-01-02,S001,P0016,Groceries,North,25,35.58,Snowy,30.98,Winter,59,889.5,2022-01
116,2022-01-02,S001,P0017,Toys,North,33,17.76,Snowy,16.08,Winter,42,586.08,2022-01
117,2022-01-02,S001,P0018,Groceries,North,172,66.33,Snowy,56.8,Winter,144,11408.76,2022-01
118,2022-01-02,S001,P0019,Furniture,North,35,93.29,Snowy,99.51,Winter,52,3265.15,2022-01
119,2022-01-02,S001,P0020,Furniture,North,93,119.87,Snowy,111.8,Winter,92,11147.91,2022-01
120,2022-01-02,S002,P0001,Groceries,South,0,86.71,Cloudy,85.0,Winter,137,0.0,2022-01
121,2022-01-02,S002,P0002,Toys,South,61,31.7,Cloudy,36.09,Winter,82,1933.7,2022-01
122,2022-01-02,S002,P0003,Groceries,South,20,66.64,Cloudy,61.22,Winter,58,1332.8,2022-01
123,2022-01-02,S002,P0004,Groceries,South,40,36.7,Cloudy,35.23,Winter,59,1468.0,2022-01
124,2022-01-02,S002,P0005,Electronics,South,52,98.83,Cloudy,94.92,Winter,115,5139.16,2022-01
125,2022-01-02,S002,P0006,Clothing,South,116,66.76,Cloudy,59.62,Winter,117,7744.160000000001,2022-01
126,2022-01-02,S002,P0007,Toys,South,95,30.0,Cloudy,28.44,Winter,95,2850.0,2022-01
127,2022-01-02,S002,P0008,Groceries,South,99,29.35,Cloudy,34.68,Winter,140,2905.65,2022-01
128,2022-01-02,S002,P0009,Groceries,South,0,74.78,Cloudy,83.48,Winter,158,0.0,2022-01
129,2022-01-02,S002,P0010,Groceries,South,179,101.56,Cloudy,98.18,Winter,234,18179.24,2022-01
130,2022-01-02,S002,P0011,Groceries,South,135,91.4,Cloudy,109.66,Winter,137,12339.0,2022-01
131,2022-01-02,S002,P0012,Electronics,South,75,65.63,Cloudy,56.85,Winter,115,4922.25,2022-01
132,2022-01-02,S002,P0013,Groceries,South,45,20.47,Cloudy,22.07,Winter,75,921.15,2022-01
133,2022-01-02,S002,P0014,Electronics,South,84,134.04,Cloudy,124.77,Winter,135,11259.36,2022-01
134,2022-01-02,S002,P0015,Clothing,South,36,65.22,Cloudy,71.11,Winter,152,2347.92,2022-01
135,2022-01-02,S002,P0016,Clothing,South,0,107.38,Cloudy,114.77,Winter,159,0.0,2022-01
136,2022-01-02,S002,P0017,Toys,South,63,18.69,Cloudy,20.42,Winter,92,1177.47,2022-01
137,2022-01-02,S002,P0018,Clothing,South,74,26.16,Cloudy,31.4,Winter,92,1935.84,2022-01
138,2022-01-02,S002,P0019,Clothing,South,66,93.88,Cloudy,85.41,Winter,101,6196.08,2022-01
139,2022-01-02,S002,P0020,Furniture,South,77,134.4,Cloudy,124.57,Winter,70,10348.8,2022-01
140,2022-01-02,S003,P0001,Toys,East,73,15.76,Cloudy,16.81,Winter,91,1150.48,2022-01
141,2022-01-02,S003,P0002,Groceries,East,175,63.12,Cloudy,55.32,Winter,154,11046.0,2022-01
142,2022-01-02,S003,P0003,Electronics,East,125,109.88,Cloudy,107.36,Winter,145,13735.0,2022-01
143,2022-01-02,S003,P0004,Groceries,East,39,19.9,Cloudy,22.28,Winter,56,776.0999999999999,2022-01
144,2022-01-02,S003,P0005,Toys,East,59,20.05,Cloudy,17.73,Winter,75,1182.95,2022-01
145,2022-01-02,S003,P0006,Toys,East,70,40.69,Cloudy,39.79,Winter,91,2848.3,2022-01
146,2022-01-02,S003,P0007,Groceries,East,124,16.3,Cloudy,19.56,Winter,132,2021.2,2022-01
147,2022-01-02,S003,P0008,Clothing,East,121,132.2,Cloudy,148.43,Winter,156,15996.2,2022-01
148,2022-01-02,S003,P0009,Groceries,East,78,52.56,Cloudy,51.15,Winter,105,4099.68,2022-01
149,2022-01-02,S003,P0010,Groceries,East,92,32.73,Cloudy,32.0,Winter,96,3011.16,2022-01
150,2022-01-02,S003,P0011,Electronics,East,2,113.61,Cloudy,126.49,Winter,163,227.22,2022-01
151,2022-01-02,S003,P0012,Furniture,East,62,90.21,Cloudy,106.9,Winter,95,5593.02,2022-01
152,2022-01-02,S003,P0013,Groceries,East,0,69.14,Cloudy,72.85,Winter,83,0.0,2022-01
153,2022-01-02,S003,P0014,Groceries,East,52,84.21,Cloudy,83.63,Winter,50,4378.92,2022-01
154,2022-01-02,S003,P0015,Groceries,East,35,100.93,Cloudy,120.1,Winter,185,3532.55,2022-01
155,2022-01-02,S003,P0016,Electronics,East,126,126.78,Cloudy,110.11,Winter,156,15974.28,2022-01
156,2022-01-02,S003,P0017,Furniture,East,37,107.38,Cloudy,92.46,Winter,42,3973.06,2022-01
157,2022-01-02,S003,P0018,Furniture,East,65,127.98,Cloudy,148.9,Winter,90,8318.7,2022-01
158,2022-01-02,S003,P0019,Groceries,East,92,56.72,Cloudy,55.93,Winter,107,5218.24,2022-01
159,2022-01-02,S003,P0020,Clothing,East,60,73.57,Cloudy,62.9,Winter,92,4414.2,2022-01
160,2022-01-02,S004,P0001,Groceries,West,130,12.67,Sunny,11.95,Winter,160,1647.1,2022-01
161,2022-01-02,S004,P0002,Groceries,West,121,23.71,Sunny,21.48,Winter,131,2868.9100000000003,2022-01
162,2022-01-02,S004,P0003,Furniture,West,69,142.86,Sunny,134.09,Winter,81,9857.34,2022-01
163,2022-01-02,S004,P0004,Groceries,West,20,38.88,Sunny,44.68,Winter,26,777.6,2022-01
164,2022-01-02,S004,P0005,Clothing,West,92,83.84,Sunny,88.73,Winter,178,7713.280000000001,2022-01
165,2022-01-02,S004,P0006,Groceries,West,149,40.95,Sunny,34.97,Winter,134,6101.55,2022-01
166,2022-01-02,S004,P0007,Groceries,West,142,36.85,Sunny,35.75,Winter,164,5232.7,2022-01
167,2022-01-02,S004,P0008,Furniture,West,28,84.29,Sunny,90.72,Winter,46,2360.1200000000003,2022-01
168,2022-01-02,S004,P0009,Clothing,West,100,120.17,Sunny,135.44,Winter,142,12017.0,2022-01
169,2022-01-02,S004,P0010,Groceries,West,103,23.81,Sunny,26.5,Winter,142,2452.43,2022-01
170,2022-01-02,S004,P0011,Clothing,West,130,64.39,Sunny,58.88,Winter,205,8370.7,2022-01
171,2022-01-02,S004,P0012,Electronics,West,90,94.35,Sunny,102.02,Winter,84,8491.5,2022-01
172,2022-01-02,S004,P0013,Groceries,West,32,24.95,Sunny,23.75,Winter,144,798.4,2022-01
173,2022-01-02,S004,P0014,Furniture,West,58,175.28,Sunny,193.4,Winter,87,10166.24,2022-01
174,2022-01-02,S004,P0015,Furniture,West,72,74.92,Sunny,82.61,Winter,65,5394.24,2022-01
175,2022-01-02,S004,P0016,Furniture,West,67,122.71,Sunny,148.34,Winter,86,8221.57,2022-01
176,2022-01-02,S004,P0017,Clothing,West,99,117.24,Sunny,111.57,Winter,138,11606.76,2022-01
177,2022-01-02,S004,P0018,Furniture,West,94,169.09,Sunny,163.21,Winter,87,15894.46,2022-01
178,2022-01-02,S004,P0019,Clothing,West,124,66.93,Sunny,79.53,Winter,148,8299.320000000002,2022-01
179,2022-01-02,S004,P0020,Furniture,West,56,114.9,Sunny,133.94,Winter,53,6434.400000000001,2022-01
180,2022-01-02,S005,P0001,Groceries,North,81,11.7,Snowy,10.06,Winter,75,947.7,2022-01
181,2022-01-02,S005,P0002,Electronics,North,0,40.81,Snowy,38.43,Winter,106,0.0,2022-01
182,2022-01-02,S005,P0003,Toys,North,87,29.13,Snowy,28.91,Winter,100,2534.31,2022-01
183,2022-01-02,S005,P0004,Groceries,North,77,7.79,Snowy,7.23,Winter,119,599.83,2022-01
184,2022-01-02,S005,P0005,Groceries,North,61,15.31,Snowy,13.22,Winter,95,933.91,2022-01
185,2022-01-02,S005,P0006,Groceries,North,122,56.83,Snowy,60.46,Winter,116,6933.26,2022-01
186,2022-01-02,S005,P0007,Groceries,North,3,56.72,Snowy,64.26,Winter,4,170.16,2022-01
187,2022-01-02,S005,P0008,Groceries,North,64,58.77,Snowy,55.01,Winter,94,3761.28,2022-01
188,2022-01-02,S005,P0009,Groceries,North,80,103.03,Snowy,88.63,Winter,104,8242.4,2022-01
189,2022-01-02,S005,P0010,Groceries,North,0,72.29,Snowy,64.1,Winter,182,0.0,2022-01
190,2022-01-02,S005,P0011,Electronics,North,51,57.17,Snowy,64.73,Winter,62,2915.67,2022-01
191,2022-01-02,S005,P0012,Furniture,North,117,131.02,Snowy,157.89,Winter,110,15329.340000000002,2022-01
192,2022-01-02,S005,P0013,Groceries,North,63,75.5,Snowy,89.57,Winter,118,4756.5,2022-01
193,2022-01-02,S005,P0014,Furniture,North,47,160.24,Snowy,152.98,Winter,65,7531.280000000001,2022-01
194,2022-01-02,S005,P0015,Groceries,North,24,45.46,Snowy,49.28,Winter,118,1091.04,2022-01
195,2022-01-02,S005,P0016,Toys,North,72,35.13,Snowy,34.06,Winter,81,2529.36,2022-01
196,2022-01-02,S005,P0017,Toys,North,61,31.63,Snowy,35.51,Winter,60,1929.43,2022-01
197,2022-01-02,S005,P0018,Clothing,North,177,28.59,Snowy,27.16,Winter,211,5060.43,2022-01
198,2022-01-02,S005,P0019,Furniture,North,37,119.41,Snowy,139.55,Winter,61,4418.17,2022-01
199,2022-01-02,S005,P0020,Toys,North,56,26.62,Snowy,23.56,Winter,68,1490.72,2022-01
200,2022-01-03,S001,P0001,Electronics,North,142,68.55,Snowy,80.73,Winter,132,9734.1,2022-01
201,2022-01-03,S001,P0002,Clothing,North,92,78.32,Snowy,77.58,Winter,137,7205.44,2022-01
202,2022-01-03,S001,P0003,Clothing,North,3,51.3,Snowy,56.0,Winter,106,153.89999999999998,2022-01
203,2022-01-03,S001,P0004,Electronics,North,55,91.74,Snowy,105.94,Winter,63,5045.7,2022-01
204,2022-01-03,S001,P0005,Groceries,North,0,58.17,Snowy,57.29,Winter,172,0.0,2022-01
205,2022-01-03,S001,P0006,Toys,North,72,36.37,Snowy,36.01,Winter,92,2618.64,2022-01
206,2022-01-03,S001,P0007,Groceries,North,0,23.81,Snowy,25.21,Winter,101,0.0,2022-01
207,2022-01-03,S001,P0008,Electronics,North,56,42.35,Snowy,38.38,Winter,64,2371.6,2022-01
208,2022-01-03,S001,P0009,Clothing,North,88,98.1,Snowy,86.64,Winter,109,8632.8,2022-01
209,2022-01-03,S001,P0010,Furniture,North,17,138.64,Snowy,124.61,Winter,82,2356.88,2022-01
210,2022-01-03,S001,P0011,Furniture,North,62,152.23,Snowy,175.99,Winter,86,9438.26,2022-01
211,2022-01-03,S001,P0012,Groceries,North,165,88.83,Snowy,97.64,Winter,201,14656.95,2022-01
212,2022-01-03,S001,P0013,Toys,North,47,29.75,Snowy,35.18,Winter,64,1398.25,2022-01
213,2022-01-03,S001,P0014,Groceries,North,50,81.49,Snowy,79.61,Winter,134,4074.5,2022-01
214,2022-01-03,S001,P0015,Toys,North,92,16.43,Snowy,14.9,Winter,86,1511.56,2022-01
215,2022-01-03,S001,P0016,Groceries,North,0,45.61,Snowy,40.77,Winter,193,0.0,2022-01
216,2022-01-03,S001,P0017,Toys,North,59,22.74,Snowy,21.56,Winter,80,1341.66,2022-01
217,2022-01-03,S001,P0018,Groceries,North,134,72.12,Snowy,65.71,Winter,137,9664.08,2022-01
218,2022-01-03,S001,P0019,Furniture,North,48,104.22,Snowy,95.66,Winter,68,5002.56,2022-01
219,2022-01-03,S001,P0020,Furniture,North,85,94.75,Snowy,86.97,Winter,77,8053.75,2022-01
220,2022-01-03,S002,P0001,Groceries,South,0,84.32,Cloudy,92.33,Winter,189,0.0,2022-01
221,2022-01-03,S002,P0002,Toys,South,64,33.62,Cloudy,30.87,Winter,100,2151.68,2022-01
222,2022-01-03,S002,P0003,Groceries,South,0,69.5,Cloudy,79.43,Winter,84,0.0,2022-01
223,2022-01-03,S002,P0004,Groceries,South,9,37.8,Cloudy,37.38,Winter,53,340.2,2022-01
224,2022-01-03,S002,P0005,Electronics,South,0,103.86,Cloudy,91.4,Winter,150,0.0,2022-01
225,2022-01-03,S002,P0006,Clothing,South,140,67.06,Cloudy,64.59,Winter,184,9388.4,2022-01
226,2022-01-03,S002,P0007,Toys,South,49,27.9,Cloudy,33.63,Winter,89,1367.1,2022-01
227,2022-01-03,S002,P0008,Groceries,South,126,30.53,Cloudy,36.87,Winter,154,3846.78,2022-01
228,2022-01-03,S002,P0009,Groceries,South,134,68.23,Cloudy,64.5,Winter,145,9142.82,2022-01
229,2022-01-03,S002,P0010,Groceries,South,116,86.08,Cloudy,81.12,Winter,105,9985.28,2022-01
230,2022-01-03,S002,P0011,Groceries,South,22,109.82,Cloudy,124.57,Winter,144,2416.04,2022-01
231,2022-01-03,S002,P0012,Electronics,South,44,70.05,Cloudy,59.81,Winter,158,3082.2,2022-01
232,2022-01-03,S002,P0013,Groceries,South,14,18.11,Cloudy,21.08,Winter,70,253.54,2022-01
233,2022-01-03,S002,P0014,Electronics,South,0,125.35,Cloudy,120.17,Winter,113,0.0,2022-01
234,2022-01-03,S002,P0015,Clothing,South,0,74.64,Cloudy,83.24,Winter,158,0.0,2022-01
235,2022-01-03,S002,P0016,Clothing,South,113,69.5,Cloudy,74.88,Winter,109,7853.5,2022-01
236,2022-01-03,S002,P0017,Toys,South,18,20.44,Cloudy,23.47,Winter,87,367.92,2022-01
237,2022-01-03,S002,P0018,Clothing,South,96,29.14,Cloudy,24.82,Winter,127,2797.44,2022-01
238,2022-01-03,S002,P0019,Clothing,South,16,96.98,Cloudy,109.82,Winter,145,1551.68,2022-01
239,2022-01-03,S002,P0020,Furniture,South,6,82.98,Cloudy,73.24,Winter,22,497.88,2022-01
240,2022-01-03,S003,P0001,Toys,East,117,18.83,Cloudy,20.46,Winter,168,2203.11,2022-01
241,2022-01-03,S003,P0002,Groceries,East,59,60.46,Cloudy,57.57,Winter,104,3567.14,2022-01
242,2022-01-03,S003,P0003,Electronics,East,162,102.13,Cloudy,118.42,Winter,175,16545.059999999998,2022-01
243,2022-01-03,S003,P0004,Groceries,East,42,20.88,Cloudy,24.94,Winter,99,876.9599999999999,2022-01
244,2022-01-03,S003,P0005,Toys,East,48,17.78,Cloudy,21.3,Winter,72,853.44,2022-01
245,2022-01-03,S003,P0006,Toys,East,27,28.63,Cloudy,25.6,Winter,40,773.01,2022-01
246,2022-01-03,S003,P0007,Groceries,East,0,16.06,Cloudy,19.09,Winter,109,0.0,2022-01
247,2022-01-03,S003,P0008,Clothing,East,114,123.69,Cloudy,119.72,Winter,134,14100.66,2022-01
248,2022-01-03,S003,P0009,Groceries,East,126,56.93,Cloudy,48.4,Winter,131,7173.18,2022-01
249,2022-01-03,S003,P0010,Groceries,East,127,52.41,Cloudy,48.68,Winter,200,6656.07,2022-01
250,2022-01-03,S003,P0011,Electronics,East,62,105.49,Cloudy,125.46,Winter,65,6540.38,2022-01
251,2022-01-03,S003,P0012,Furniture,East,137,93.48,Cloudy,98.69,Winter,148,12806.76,2022-01
252,2022-01-03,S003,P0013,Groceries,East,0,94.01,Cloudy,89.45,Winter,166,0.0,2022-01
253,2022-01-03,S003,P0014,Groceries,East,64,89.29,Cloudy,95.52,Winter,95,5714.56,2022-01
254,2022-01-03,S003,P0015,Groceries,East,0,81.54,Cloudy,91.17,Winter,47,0.0,2022-01
